"county_fips","pop_hs_less","pop_hs","pop_college","pop_bs_more","pct_pop_hs_less","pct_pop_hs","pct_pop_college","pct_pop_bs_more","pop_poverty","pct_pop_poverty","med_house_inc","unemploy_rate","pop_labor_force","pop_employed","pop_unemployed"
48119,513,1208,1085,759,14.4,33.9,30.4,21.3,908,17.2,44410,3.4,2460,2376,84
48121,39610,95181,157391,234003,7.5,18.1,29.9,44.5,62151,7.3,88384,3.2,482610,467289,15321
48123,2767,5705,4218,1862,19,39.2,29,12.8,3370,18.4,49208,3.1,9784,9476,308
48125,296,548,492,267,18.5,34.2,30.7,16.7,390,20.3,39627,4.2,672,644,28
48127,2137,2170,1303,924,32.7,33.2,19.9,14.1,2508,24.6,37177,3,7414,7190,224
48129,266,720,825,446,11.8,31.9,36.6,19.8,574,18.6,40945,3.4,1574,1521,53
48131,2386,2254,1942,672,32.9,31.1,26.8,9.3,2684,25.5,35156,5.3,5049,4782,267
48133,2053,4451,4376,1673,16.4,35.5,34.9,13.3,3269,18.7,44773,3.4,8724,8430,294
48135,22442,28230,28452,14604,23.9,30.1,30.4,15.6,20485,12.9,60431,2.7,85132,82843,2289
48137,363,434,387,311,24.3,29,25.9,20.8,425,22.1,37812,2.8,892,867,25
48139,15495,30531,37049,24996,14.3,28.3,34.3,23.1,15609,8.8,76792,3.3,89935,86971,2964
48141,114276,121278,157099,115744,22.5,23.9,30.9,22.8,169120,20.5,43948,4.2,359136,343915,15221
48143,3289,5548,7795,7027,13.9,23.4,32.9,29.7,6988,18.1,47087,3.1,20784,20145,639
48145,2763,4562,3157,1553,23,37.9,26.2,12.9,3331,21.7,37428,3.9,6668,6411,257
48147,3615,8622,7789,4026,15,35.8,32.4,16.7,4466,13.8,53111,3.1,16471,15967,504
48149,2846,7265,4653,3262,15.8,40.3,25.8,18.1,3322,13.3,55776,2.8,12606,12250,356
48151,383,932,908,495,14.1,34.3,33.4,18.2,592,15.5,45261,3.3,1666,1611,55
48153,1014,1067,1133,609,26.5,27.9,29.6,15.9,1218,21,39891,5.2,2693,2552,141
48155,236,300,341,170,22.5,28.7,32.6,16.2,210,18,37648,2.9,577,560,17
48157,46214,83705,124372,217907,9.8,17.7,26.3,46.1,61455,7.9,92310,4,382102,366922,15180
48159,820,2175,2550,1715,11.3,30,35.1,23.6,1615,15.2,48222,4.1,4579,4390,189
48161,2471,4549,5027,1807,17.8,32.8,36.3,13,2493,13.7,49317,5.8,6573,6189,384
48163,4035,4319,2869,865,33.4,35.7,23.7,7.2,4511,27.5,41038,2.9,10071,9782,289
48165,4326,3272,2165,1379,38.8,29.4,19.4,12.4,3198,15.4,56321,2.6,9439,9198,241
48167,25770,55710,71449,65692,11.8,25.5,32.7,30,40109,12.1,71959,4.6,164757,157181,7576
48169,1776,1281,901,639,38.6,27.9,19.6,13.9,1096,24.6,46490,3,2133,2070,63
48171,2047,5896,4804,6508,10.6,30.6,24.9,33.8,2527,9.6,61433,2.5,13417,13076,341
48173,253,183,237,203,28.9,20.9,27.1,23.2,134,9.7,83330,2,857,840,17
48175,650,1614,2068,925,12.4,30.7,39.3,17.6,1077,14.4,55008,3.8,3305,3179,126
48177,3200,5503,2949,1636,24.1,41.4,22.2,12.3,3465,16.9,49829,3,9552,9262,290
48179,3007,4883,5203,2016,19.9,32.3,34.4,13.3,3352,16.7,49121,3.9,8181,7858,323
48181,9936,26822,32342,17790,11.4,30.9,37.2,20.5,16116,12.3,51403,3.2,63488,61427,2061
48183,12869,22830,27367,16522,16.2,28.7,34.4,20.8,18108,15.1,50610,4.1,57815,55434,2381
48185,3872,6745,5583,2773,20.4,35.6,29.4,14.6,4444,17.5,49498,4.1,11108,10649,459
48187,11499,31336,30548,27891,11.4,30.9,30.2,27.5,13716,8.5,73864,3.1,79824,77327,2497
48189,4976,7081,5382,3454,23.8,33.9,25.8,16.5,5715,18.4,42782,4.8,12540,11936,604
48191,503,600,682,299,24.1,28.8,32.7,14.3,718,24.1,32597,4.3,1128,1079,49
48193,1095,2000,1542,1288,18.5,33.8,26,21.7,1221,14.7,49210,3.3,3648,3527,121
48195,1052,942,899,484,31.2,27.9,26.6,14.3,626,11.6,57240,2.3,2879,2812,67
48197,571,952,803,396,21,35,29.5,14.5,680,17.4,42469,3.6,1678,1617,61
48199,4588,14891,12548,5765,12.1,39.4,33.2,15.3,7035,12.4,60909,5.2,25465,24141,1324
